Cambio de pasta térmica.,1,082ec5a14f1642c1bcd0706021d08611,34:14.9
Cambio de procesador.,3,0cd1545e587f4fe18a87cd1209d76054,10:57.2
Cambio de memoria RAM.,4,0fd5bfd0ba8d44a192fb8cfb982cede6,34:15.8
Aumento de memoria RAM.,5,248a8a8496ea489f9f071c3ea9a69286,34:15.6
Cambio de disco duro a SSD.,6,3e529a7166c845ab8279228b839b2458,34:15.7
Cambio de pasta térmica.,7,43e459aa48ba402b907a191e4b5ffabc,10:01.9
Cambio de sistema de enfriamiento del procesador.,8,5caa78e271154dbab7cc6a088ff742c5,34:14.3
Cambio de procesador.,9,650d6aa41b5a46eb8c97f3790ba1e06b,34:14.5
Mantenimiento de rutina para verificar el correcto funcionamiento.,10,66eb49e8f7354f8d9c061ffd87bb675e,34:15.4
Cambio de pasta térmica.,11,7163493469014f9b931fe7df0024bf11,34:13.3
Aumento de memoria RAM.,12,7452d33bca6740089bb3516d2ee0c6c8,34:15.9
Aumento de memoria RAM.,13,870a035c04dd4fa28b04a4b9cc92b7bb,34:16.1
Mantenimiento de rutina para verificar el correcto funcionamiento.,14,96cfe12b83f54b4b861339a254ea9848,34:15.0
Cambio de disco duro a SSD.,15,992a0e673bab43649a6330fa487ded0d,34:14.2
Cambio de sistema de enfriamiento del procesador.,16,aae6d43fd80941e59a6544227a813f89,34:15.1
Cambio de sistema de enfriamiento del procesador.,17,ace75ed54ce44b5e8b95c31e0bba0829,34:15.3
Mantenimiento de rutina para verificar el correcto funcionamiento.,18,b074539b3c214c808c8e3d65b4860153,34:14.8
Ajuste del consumo de energía.,19,c1632b98eec24749bf564f7debb15450,34:16.0
Cambio de pasta térmica.,20,c6e4e6582be2434a9dc9842baf44ad06,34:14.4
Ajuste del consumo de energía.,21,c6f1c924e44046bfb59b6028c34ece3e,34:14.7
